iter	Passed	Remaining
951	26780	1350
952	26802	1321
953	26833	1293
954	26856	1265
955	26880	1237
956	26913	1209
957	26939	1181
958	26967	1152
959	26988	1124
960	27016	1096
961	27046	1068
962	27069	1040
963	27094	1011
964	27117	983
965	27138	955
966	27160	926
967	27189	898
968	27208	870
969	27241	842
970	27270	814
971	27300	786
972	27322	758
973	27354	730
974	27391	702
975	27412	674
976	27438	645
977	27473	618
978	27501	589
979	27529	561
980	27558	533
981	27582	505
982	27614	477
983	27641	449
984	27671	421
985	27690	393
986	27721	365
987	27748	337
988	27773	308
989	27797	280
990	27828	252
991	27858	224
992	27889	196
993	27921	168
994	27954	140
995	27975	112
996	28007	84
997	28037	56
998	28067	28
999	28092	0
