iter	RMSE
733	28870.97001
734	28869.41237
735	28853.26217
736	28850.58548
737	28841.43232
738	28830.99183
739	28819.95469
740	28811.276
741	28806.08998
742	28803.05692
743	28796.51405
744	28789.36315
745	28786.35747
746	28785.1252
747	28783.88382
748	28778.44439
749	28772.46587
750	28760.88285
751	28752.9837
752	28749.88749
753	28745.96336
754	28742.79908
755	28737.21304
756	28735.17404
757	28734.07777
758	28731.4827
759	28725.90373
760	28716.50674
761	28714.68306
762	28706.38516
763	28701.13711
764	28695.5236
765	28689.46073
766	28687.12881
767	28682.47112
768	28677.68268
769	28675.67496
770	28671.1317
771	28666.49249
772	28660.12417
773	28654.42414
774	28642.00741
775	28639.41554
776	28636.89856
777	28635.66675
778	28633.18575
779	28628.66916
780	28623.1915
781	28621.31142
782	28615.46732
783	28609.60829
784	28605.88839
785	28603.18311
786	28596.2708
787	28592.06444
788	28587.54661
789	28584.45308
790	28579.23052
791	28576.44737
792	28574.37916
793	28561.64803
794	28559.43961
795	28554.58001
796	28541.65244
797	28537.37432
798	28532.19327
799	28530.07351
800	28518.49873
801	28514.75254
802	28507.59391
803	28503.1816
804	28500.54587
805	28499.45745
806	28495.10087
807	28490.60558
808	28484.23787
809	28481.80158
810	28479.01149
811	28474.2279
812	28470.365
813	28466.61034
814	28461.92954
815	28456.17238
816	28453.75657
817	28448.58359
818	28441.17732
819	28440.59085
820	28436.78792
821	28432.31429
822	28432.0893
823	28428.24398
824	28426.60521
825	28422.50503
826	28417.49653
827	28417.18112
828	28413.08717
829	28408.82485
830	28394.909
831	28389.73461
832	28387.41529
833	28379.38252
834	28365.73847
835	28359.20306
836	28352.16548
837	28347.5111
838	28344.87312
839	28342.09124
840	28337.86976
841	28336.77051
842	28333.88342
843	28331.74097
844	28322.05787
845	28318.28975
846	28314.3736
847	28306.45859
848	28301.83044
849	28299.41326
850	28291.74085
851	28277.87854
852	28269.92542
853	28257.97841
854	28253.59084
855	28246.54823
856	28235.44702
857	28233.93615
858	28225.48867
859	28218.87612
860	28214.75043
861	28207.74251
862	28200.44093
863	28192.2566
864	28190.10548
865	28185.95094
866	28176.89613
867	28168.57354
868	28159.99448
869	28155.73758
870	28152.80706
871	28147.875
872	28143.02347
873	28140.48061
874	28137.11053
875	28130.78934
876	28130.58654
877	28127.44137
878	28116.9651
879	28111.56371
880	28102.50171
881	28097.8426
882	28093.63817
883	28087.37409
884	28084.75221
885	28081.67418
886	28070.85974
887	28063.97371
888	28061.02352
889	28052.27306
890	28046.17942
891	28041.05271
892	28038.90314
893	28035.61356
894	28033.96948
895	28031.00504
896	28021.92434
897	28021.4574
898	28017.42238
899	28014.37423
900	28010.21243
901	28007.543
902	28003.52599
903	28003.13842
904	28001.04083
905	27997.40599
906	27993.61845
907	27989.62585
908	27985.15276
909	27984.46782
910	27984.30954
911	27983.42959
912	27977.91188
913	27975.60836
914	27971.74611
915	27968.89338
916	27966.85976
917	27963.6642
918	27958.43646
919	27953.21722
920	27946.7273
921	27943.36485
922	27941.70171
923	27938.28635
924	27932.75869
925	27923.64313
926	27920.48478
927	27914.7687
928	27908.40891
929	27899.82938
930	27892.62965
931	27888.37901
932	27884.89671
933	27865.17038
934	27860.86565
935	27856.80166
936	27855.14104
937	27851.88223
938	27847.19434
939	27844.26783
940	27840.55971
941	27840.42884
942	27837.85228
943	27829.72156
944	27825.30209
945	27823.60012
946	27821.53412
947	27814.8022
948	27812.30551
949	27810.16533
950	27804.54548
